sample,gt,bud,treatment,rep,date,day_00,day_01,day_02,day_03,day_04,day_05,day_06,day_07,day_08
24,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1,1,1,1.5,2,2,2.5,3,3
24,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1,1,1.5,1.5,2.5,2.5,5.5,9,13.5
25,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1,1,1,1,1.5,2,2,2,2
25,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1,1,1.5,2,3,3.5,9,15,23
26,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1,1,1,1,2,2,2,2,2.5
26,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1,1,1,1,1.5,2,4,7,13.5
27,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1.5,1.5,1.5,1.5,1.5,2,2,2,2
27,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1,1,1.5,1.5,2.5,3,8,16.5,25
28,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1,1,1,1,1.5,1.5,2.5,3,3
28,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1,1,1.5,1.5,2,2.5,2.5,5,7
29,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1,1,1,1.5,2,2,2,2,2.5
29,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1,1,1.5,1.5,2,3,5.5,9.5,16
30,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1,1,1,1,1,1,2,2,3
30,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1,1,1.5,1.5,2,2,3.5,3.5,3.5
31,"pin3,4,7 sAPL:icals3m",top,CK,5,20.11.19,1,1,1,1,1.5,1.5,2,2,2
31,"pin3,4,7 sAPL:icals3m",bottom,CK,5,20.11.19,1,1,1.5,1.5,2.5,3,5,8,13.5
1,"pin3,4,7 sAPL:icals3m",top,CK.EST,5,20.11.19,1,1,1,1,1.5,1.5,1.5,1.5,1.5
1,"pin3,4,7 sAPL:icals3m",bottom,CK.EST,5,20.11.19,1,1,1,1.5,2,2,3.5,5,11
2,"pin3,4,7 sAPL:icals3m",top,CK.EST,5,20.11.19,1,1,1,1,1,1,1,2,3
2,"pin3,4,7 sAPL:icals3m",bottom,CK.EST,5,20.11.19,1,1,1,1,1,1,1.5,2,3
3,"pin3,4,7 sAPL:icals3m",top,CK.EST,5,20.11.19,1,1,1,1,1.5,2,2.5,2.5,2.5
3,"pin3,4,7 sAPL:icals3m",bottom,CK.EST,5,20.11.19,1,1.5,1.5,1.5,2,2.5,5,8,17
4,"pin3,4,7 sAPL:icals3m",top,CK.EST,5,20.11.19,1,1,1,1,1.5,1.5,2,3,3
4,"pin3,4,7 sAPL:icals3m",bottom,CK.EST,5,20.11.19,1,1,1,1.5,2,4,5.5,8,12
5,"pin3,4,7 sAPL:icals3m",top,CK.EST,5,20.11.19,1,1,1.5,1.5,2,2.5,3,3,3
5,"pin3,4,7 sAPL:icals3m",bottom,CK.EST,5,20.11.19,1,1,1.5,2,3,5,8,15,21
6,"pin3,4,7 sAPL:icals3m",top,CK.EST,5,20.11.19,1,1,1,1,1,1,2,3,4
6,"pin3,4,7 sAPL:icals3m",bottom,CK.EST,5,20.11.19,1,1,1,1.5,1.5,2.5,3.5,6,8.5
7,"pin3,4,7 sAPL:icals3m",top,CK.EST,5,20.11.19,1,1,1,1,1.5,1.5,2,2.5,3
7,"pin3,4,7 sAPL:icals3m",bottom,CK.EST,5,20.11.19,1,1,1,1,1.5,1.5,2.5,5,6
8,"pin3,4,7 sAPL:icals3m",top,CK.EST,5,20.11.19,1,1,1,1.5,2,2.5,3,3.5,3.5
8,"pin3,4,7 sAPL:icals3m",bottom,CK.EST,5,20.11.19,1,1,1.5,2,3,5,7,17,21
9,"pin3,4,7 sAPL:icals3m",top,CK.EST,5,20.11.19,1,1,1,1,1.5,1.5,2,2.5,2.5
9,"pin3,4,7 sAPL:icals3m",bottom,CK.EST,5,20.11.19,1,1,1,1.5,2,3,4,9,19
10,"pin3,4,7 sAPL:icals3m",top,CK.EST,5,20.11.19,1.5,1.5,1.5,1.5,1.5,2.5,2.5,3,3
10,"pin3,4,7 sAPL:icals3m",bottom,CK.EST,5,20.11.19,1,1,1,1.5,2.5,4.5,7,15.5,23
11,"pin3,4,7 sAPL:icals3m",top,CK.EST,5,20.11.19,1,1,1,1,1,1,1.5,2,2
11,"pin3,4,7 sAPL:icals3m",bottom,CK.EST,5,20.11.19,1,1,1,1,1.5,2.5,2.5,3,3
12,"pin3,4,7 sAPL:icals3m",top,CK.EST,5,20.11.19,1.5,1.5,1.5,2,2,2.5,3.5,3.5,3.5
12,"pin3,4,7 sAPL:icals3m",bottom,CK.EST,5,20.11.19,1.5,1.5,1.5,1.5,2.5,4.5,6.5,11,16
13,"pin3,4,7 sAPL:icals3m",top,CK.EST,5,20.11.19,1,1,1,1,1.5,1.5,2,2.5,3
13,"pin3,4,7 sAPL:icals3m",bottom,CK.EST,5,20.11.19,1,1,1,1,1.5,2.5,3,4.5,6
14,"pin3,4,7 sAPL:icals3m",top,CK.EST,5,20.11.19,1,1,1,1,1,1.5,1.5,3,3.5
14,"pin3,4,7 sAPL:icals3m",bottom,CK.EST,5,20.11.19,1,1,1,1,1,2.5,3,4.5,6
15,"pin3,4,7 sAPL:icals3m",top,CK.EST,5,20.11.19,1.5,1.5,1.5,1.5,2,2,2.5,4,6.5
15,"pin3,4,7 sAPL:icals3m",bottom,CK.EST,5,20.11.19,1.5,1.5,2,2,3,3,3,3,3
16,"pin3,4,7 sAPL:icals3m",top,CK.EST,5,20.11.19,1,1,1.5,2,3,3.5,4,4,4
16,"pin3,4,7 sAPL:icals3m",bottom,CK.EST,5,20.11.19,1.5,1.5,2,3,5,7,10.5,18,31
17,"pin3,4,7 sAPL:icals3m",top,CK.EST,5,20.11.19,1,1.5,1.5,1.5,1.5,2.5,3,3,3
17,"pin3,4,7 sAPL:icals3m",bottom,CK.EST,5,20.11.19,1,1,1.5,2,2.5,2.5,4,7,12
