sample,gt,bud,treatment,rep,date,day_00,day_01,day_02,day_03,day_04,day_05,day_06,day_07,day_08
24,brc1-2 sAPL:icals3m,top,CK,5,22.1.20,1,1,1.5,2,3,4.5,7.5,12,17
24,brc1-2 sAPL:icals3m,bottom,CK,5,22.1.20,1,1.5,1.5,2.5,4,6,10.5,18.5,25.5
25,brc1-2 sAPL:icals3m,top,CK,5,22.1.20,1,1,1,2,2,3,4,4.5,5.5
25,brc1-2 sAPL:icals3m,bottom,CK,5,22.1.20,1,1,1.5,2,2.5,3.5,4.5,6,9.5
26,brc1-2 sAPL:icals3m,top,CK,5,22.1.20,1.5,1.5,1.5,2,3,4,8,12.5,18
26,brc1-2 sAPL:icals3m,bottom,CK,5,22.1.20,1,1.5,2,3,4.5,6,11.5,18,26
27,brc1-2 sAPL:icals3m,top,CK,5,22.1.20,1,1,1.5,1.5,1.5,2,2,2,2
27,brc1-2 sAPL:icals3m,bottom,CK,5,22.1.20,1,1,1.5,2,2.5,3,5.5,7.5,12.5
28,brc1-2 sAPL:icals3m,top,CK,5,22.1.20,1,1,1.5,1.5,2,3,3.5,4,4.5
28,brc1-2 sAPL:icals3m,bottom,CK,5,22.1.20,1,1,1,1.5,2.5,3,4,6,8.5
29,brc1-2 sAPL:icals3m,top,CK,5,22.1.20,1.5,1.5,1.5,2,2.5,2.5,4.5,6,12
29,brc1-2 sAPL:icals3m,bottom,CK,5,22.1.20,1.5,1.5,2,3.5,5,8,13,20.5,28.5
30,brc1-2 sAPL:icals3m,top,CK,5,22.1.20,1,1,1.5,1.5,2,2,3,3,3
30,brc1-2 sAPL:icals3m,bottom,CK,5,22.1.20,1,1,1.5,2,2.5,3.5,5,8,13.5
1,brc1-2 sAPL:icals3m,top,CK.EST,5,21.1.20,1,1,1.5,3,3.5,4,7.5,12,14.5
1,brc1-2 sAPL:icals3m,bottom,CK.EST,5,21.1.20,1,1,1.5,2,2.5,5,6.5,12,17.5
2,brc1-2 sAPL:icals3m,top,CK.EST,5,21.1.20,1,1,1,2,3,5,8,12,18
2,brc1-2 sAPL:icals3m,bottom,CK.EST,5,21.1.20,1,1.5,1.5,3,5,8,13,20.5,27.5
3,brc1-2 sAPL:icals3m,top,CK.EST,5,21.1.20,1,1,1,1.5,2,2.5,3.5,4.5,5
3,brc1-2 sAPL:icals3m,bottom,CK.EST,5,21.1.20,1,1,1,2,3,5,7,10.5,18.5
4,brc1-2 sAPL:icals3m,top,CK.EST,5,21.1.20,1,1,1,1.5,2.5,4,7,13.5,23
4,brc1-2 sAPL:icals3m,bottom,CK.EST,5,21.1.20,1,1.5,1.5,3,3.5,4,5,5.5,5.5
5,brc1-2 sAPL:icals3m,top,CK.EST,5,21.1.20,1.5,1.5,1.5,2,2.5,2.5,3,3,4
5,brc1-2 sAPL:icals3m,bottom,CK.EST,5,21.1.20,1,1.5,2,3,4.5,7,12,21,28.5
6,brc1-2 sAPL:icals3m,top,CK.EST,5,21.1.20,1.5,1.5,2,2.5,3.5,5,7.5,12,20
6,brc1-2 sAPL:icals3m,bottom,CK.EST,5,21.1.20,1.5,1.5,2,3,6,10,16.5,23,32.5
7,brc1-2 sAPL:icals3m,top,CK.EST,5,21.1.20,1,1,1.5,2.5,2.5,3,3.5,3.5,4
7,brc1-2 sAPL:icals3m,bottom,CK.EST,5,21.1.20,1,1,1.5,2.5,4,6,10.5,17.5,27
8,brc1-2 sAPL:icals3m,top,CK.EST,5,21.1.20,1,1.5,1.5,1.5,3,4.5,7,11.5,17
8,brc1-2 sAPL:icals3m,bottom,CK.EST,5,21.1.20,1,1,1.5,2,2.5,3.5,4,4,5
9,brc1-2 sAPL:icals3m,top,CK.EST,5,21.1.20,1,1,1,1.5,1.5,2,2,2,2.5
9,brc1-2 sAPL:icals3m,bottom,CK.EST,5,21.1.20,1,1,1,2,2.5,3,3.5,4,5.5
10,brc1-2 sAPL:icals3m,top,CK.EST,5,21.1.20,1,1,1,2,3,4,6,10,15.5
10,brc1-2 sAPL:icals3m,bottom,CK.EST,5,21.1.20,1,1,1.5,2.5,4.5,6.5,10.5,17,26
11,brc1-2 sAPL:icals3m,top,CK.EST,5,21.1.20,1,1,1,1.5,1.5,2,2,3.5,3.5
11,brc1-2 sAPL:icals3m,bottom,CK.EST,5,21.1.20,1,1,1,1.5,2,2.5,3.5,4,4
12,brc1-2 sAPL:icals3m,top,CK.EST,5,21.1.20,1.5,1.5,1.5,1.5,2.5,3,3.5,4,4.5
12,brc1-2 sAPL:icals3m,bottom,CK.EST,5,21.1.20,1,1,1.5,2,3,4,6,9.5,17.5
13,brc1-2 sAPL:icals3m,top,CK.EST,5,21.1.20,1,1,1,1.5,2,2.5,3,3,3
13,brc1-2 sAPL:icals3m,bottom,CK.EST,5,21.1.20,1,1,1,2.5,4.5,6.5,11,17,25.5
14,brc1-2 sAPL:icals3m,top,CK.EST,5,21.1.20,1,1,1,1.5,2,2,2.5,3,3.5
14,brc1-2 sAPL:icals3m,bottom,CK.EST,5,21.1.20,1,1,1,2,2,2.5,3.5,4.5,6
15,brc1-2 sAPL:icals3m,top,CK.EST,5,22.1.20,1,1,1.5,2,2,2.5,4,4.5,5.5
15,brc1-2 sAPL:icals3m,bottom,CK.EST,5,22.1.20,1,1,2,2,3,3.5,4,6,6.5
16,brc1-2 sAPL:icals3m,top,CK.EST,5,22.1.20,1,1,1.5,1.5,2,3,3.5,3.5,3.5
